Head,Message,Type
,Trader who died in Varanasi on Friday tested positive for coronavirus,Genuine
,Gargling with lukewarm water mixed with salt/vinegar will remove coronavirus.,Fake
,Science ministry sets up a rapid response centre at IIT Bombay to combat COVID-19,Genuine
,Training of Gaganyaan astronauts in Russia put on hold amid lockdown: Report,Genuine
,‘Professional PIL shops' must be locked down during Covid-19 pandemic: Centre to SC,Genuine
Dr. Li Wenliang and his TEA cure,"Dr. Li Wenliang, China's hero doctor who was punished for telling the truth about Corona Virus and later died due to the same disease, had documented casefiles for research purposes and had in the casefiles proposed a cure that would significantly decrease the impact of the COVID - 19 Virus on the human body. The chemical Methylxanthine, Theobromine and Theophylline stimulate compounds that can ward off these virus in a human with atleast an average immune system. Whats more shocking is that these complex words that were so difficult for people in China to understand is actually called Tea in India, YES, our regular Tea has all these chemicals already in it. The main Methylxanthine in tea is the stimulant caffeine. Other Methylxanthines found in tea are two chemically similar compounds, Theobromine and Theophylline. The tea plant creates these chemicals as a way to ward off insects and other animals. Who would have known that all the solution to these virus would be a simple cup of TEA. and that is the reason so many patients in China are being cured. The hospital staff in china has started serving tea to the patients 3 times a day, And the effect is finally in Wuhan ""The centre of this Pandemic"" has been contained and community transmission has almost stopped.",Fake
,400 COVID-19 cases with linkage to Tablighi Jamaat found: Health Ministry,Genuine
,Video of American President Donald Trump announcing that Roche Medical Company will launch the vaccine for COVID-19 next Sunday.,Fake
," Holding your breath for 30 seconds is a test for COVID-19. By putting mustard oil in the nose, coronavirus will flow into the stomach and die in acid.",Fake
,PM Modi tweets #9pm9minute to remind people to light up diyas tonight,Genuine
Internet suspension,PM Modi announced internet suspension due to viral Fake news related to COVID-19.,Fake
, Photo of people following social distancing in a market in Manipur (India).,Fake
,"Nod to Tablighi Jamaat gathering should have been denied, says Sharad Pawar",Genuine
, Andhra Pradesh Chief Minister YS Jagan Reddy has claimed that ‘Paracetamol’ is the only medication for coronavirus.,Fake
," A claim that all fruit and vegetable markets in the Indian city of Chennai and across the state of Tamil Nadu have been ordered to close in an effort to curb the spread of the novel coronavirus has been shared in multiple posts on Facebook, WhatsApp and Twitter.",Fake
,A herd of Deer reclaimed the Ooty-Coimbatore road.,Fake
,"In act of solidarity, to light candle of hope, Pune switches off at 9pm",Genuine
,Uttarakhand: No new case reported for second consecutive day today,Genuine
,Covid-19 cases in Mumbai tripled in five days,Genuine
,Coronavirus: Do I need to clean and dispose of a mask?,Genuine
,WHO approves anti-Malarial drug Chloroquine for COVID-19.,Fake
,Nearly half a million companies in China shut shop as Covid-19 batters economy: Report,Genuine
,"If today you cannot raise your voice against the Hindus of Bengal then please understand that in future if you are attacked, nobody will raise their voice. Bengal is burning. Mamata is sleeping. #Dying_Hindu_Burning_Bengal",Fake
," Indian government has started ‘Rashtriya Sikshit Berojgar Yojana’ to provide relief package of Rs 50,000 to all ration cardholders, int he midst of COVID-19 crisis",Fake
,"Misleading: A viral photo displays a vial of the vaccine, with text along the top that says, “Now this was 2001 tell me why 19 years later they say there is no vaccine share before they take it down again.”",Fake
, A Shaheen Bagh protestor in India was claimed to have coronavirus.,Fake
,"Covid-19: Bengaluru civic body to screen women, kid at labour camps",Genuine
,"PM Modi calls on Spanish PM, discusses situation arising out of Covid-19 pandemic",Genuine
,Spraying and introducing bleach or another disinfectant into your body WILL NOT protect you against COVID-19 and can be dangerous,Genuine
," An old man infected 300 people with coronavirus in Jaipur, India through tobacco smoke.",Fake
,"News updates from Hindustan Times at 9 PM: India-US partnership to fight Covid-19, says PM Modi after call with Trump and all the latest news",Genuine
,War against Covid-19 myths has Pune scientists helping world keep it real,Genuine
,Indian students stranded in US seek govt help in evacuation,Genuine
,A video showing a playful deer on the beach is claimed to be from an Indian village during a lockdown.,Fake
,"When possible maintain at least a 1 meter distance between yourself and others. This is especially important if you are standing by someone who is coughing or sneezing.Â  Since some infected persons may not yet be exhibiting symptoms or their symptoms may be mild, maintaining a physical distance with everyone is a good idea if you are in an area where COVID-19 is circulating.Â ",Genuine
,"Centre to give Rs 11,092cr to states to deal with Covid-19",Genuine
, Tabligi Jamat members in India are licking plates to spread COVID-19.,Fake
,"Odisha govt makes wearing masks in public mandatory, issues guidelines",Genuine
,JKAP welcomes changes to domicile rule,Genuine
,Current Covid-19 spread mimics H1N1 pandemic of 2009: Govt document,Genuine
,"Entire country lit lamps on PM's call, shows Indians united in battle against Covid-19: JP Nadda",Genuine
, President of Italy crying because of coronavirus pandemic.,Fake
,"Before his death, ex-Hazuri Raagi complained of not getting 'proper treatment'",Genuine
,COVID-19 passengers being disembarked at Senegal airport.,Fake
,"Entire country lit lamps on PM's call, shows Indians united in battle against Covid-19: JP Nadda",Genuine
,A woman infected with coronavirus killed by Chinese police.,Fake
Release of lions,Russia released 500 lions to ensure people would stay inside houses.,Fake
,Coronavirus: DRDO develops portable decontamination chamber,Genuine
,"9 persons test positive for coronavirus in Dharavi in Mumbai, taking tally of infection cases in the area to 189 including 12 deaths: BMC",Genuine
, Video of a man who committed suicide in US due to COVID-19,Fake
,"Coronavirus latest updates: Death toll rises to 75, total cases climb to 3,072",Genuine
,Mumbaiâ€™s Workhardt hospital shut after 26 nurses test Covid-19 positive,Genuine
,Crow deaths trigger panic in Kaimur,Genuine
,"COVID-19 is the infectious disease caused by the most recently discovered corona virus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 20",Genuine
,Shopping malls crowded in Italy during the pandemic.,Fake
,"Covid-19: Govt discusses preparedness, challenges with industry representatives, global bodies",Genuine
, News channel graphic stating that the Indian lockdown is to be extended to May 4.,Fake
,"The Indian Army has mentioned that the news that it is building a thousand-bed hospital for the treatment of COVID-19 in Barmer (Rajasthan) is false. Also, the photos in the post are old.",Genuine
,Broadcast of namaz at Jama Masjid mass gathering,Fake
,"Finding a balance in the fight against Covid-19, writes Karan Thapar",Genuine
, Indian Army has set-up a 1000 bed quarantine facility in Rajasthan’s Barmer.,Fake
,Hindu God Ganeshaâ€™s idol placed and worshiped inside an Italian Church.,Fake
, Picture of people lying on the street is being shared online with a caption that implies that the picture is related to the recent outbreak of coronavirus in China.,Fake
,Prince Charles tested positive for COVID-19 after meeting Bollywood singer Kanika Kapoor.,Fake
,Prepare plans to fight economic impact of Covid-19 on war footing: Modi to ministers,Genuine
,An image of arms burned for allegedly using gel alcohol to disinfect.,Fake
, Hydroxychloroquine (HCQ) can prevent COVID-19.,Fake
," Details of three Coronavirus positive cases reported in Kothapet (Hyderabad, India).",Fake
,Full Text: PM Modi's address to the nation,Genuine
Indian Railways in a race against time to make In-house PPE overall,"Indian Railways has taken up the in-house Â production of PPE type overall on a mission mode. An overall produced by Jagadhari workshop was recently cleared by a DRDO lab, authorised for the purpose. Approved design and material will now be used for making this protective overall by other workshops under different zones. ",Genuine
," A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book. The viral forward reads, “It is not a new disease as it is already mentioned in the Intermediate zoology book along with its treatment. It happens sometimes that many great scientists and doctors do not focus on lesser-known books as they are mostly busy with famous books. Book name",Fake
,Dombivli broker held for circulating Fake video on coronavirus,Genuine
,COVID-19: Over 400 more test positive; PM hints at 'staggered' exit post 21-day lockdown,Genuine
," Office Memorandum of the Indian Ministry of Health & Family Welfare declaring holidays to the states of Maharashtra, Gujarat, Uttar Pradesh and Sikkim in the wake of COVID-19.",Fake
Ministry of Shipping plays a pro-active role towards ensuring smooth shipping operations in COVID-19 situation and lockdown in the country,"Total traffic handled at Major Ports from April to March 2020 shows 0.82% growth in tonnage. Over 46,000 crew/passenger thermal- scanned at ports. Penalties, demurrage, charges, fee, rentals levied by the Major ports waived off on any port user. Hospitals across the Major Port Trusts are prepared for Covid-19.",Genuine
, Baba Ramdev claims that COVID-19 can be self diagnosed by controlling breathing and that mustard oil kills the virus.,Fake
,"Why? Medical masks and respirators such as N95, FFP2 or equivalent are recommended for and should be reserved for, healthcare workers while giving care to patients. Close contact with people with suspected or confirmed COVID-19 and their surrounding environment are the main routes of transmission, which means healthcare workers are the most exposed. ",Genuine
,Image of coffins from Italy showing carnage due to recent COVID-19 outbreak.,Fake
,Donald Trump suspends issuing of new green cards for 60 days to protect American workers,Genuine
,"The new coronavirus (2019-nCoV) is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment.",Genuine
,"Covid-19 lockdown: For a change, Yamuna flows cleaner and full",Genuine
Bollywood Actor Shahrukh Khan,India TV telecasted news that Bollywood Actor Shahrukh Khan donated 450 million (45 Crore) Rupees to Pakistan Oil tanker blast victims.,Fake
,"If you have been in close contact with someone with COVID-19, you may be infected.",Genuine
lockdown strategy,The much shared lockdown strategy is from a Cambridge study that forecasts the best possible ways to tackle the coronavirus epidemic and is not shared by the World Health Organization.,Genuine
, Indian City Bangalore Muncipal Corp. requested people to stay at home and lock down houses as they will be spraying medicine to kill Coronavirus.,Fake
,You can recover from the coronavirus disease (COVID-19).It is not permanent,Genuine
,PM Narendra Modi holds meeting of Empowered Groups to formulate response against spread of coronavirus,Genuine
,Spain witnesses drop in coronavirus deaths for third day,Genuine
,What WHO has to say on the usage of facemasks against Covid-19,Genuine
, Roti with stamp distributed during lockdown in India.,Fake
, Russia released 500 lions to ensure people would stay inside houses.,Fake
, Coronavirus will be cured after a 14 hours curfew.,Fake
,PM pays tribute to Jagjivan Ram on birth anniversary,Genuine
,Modi government leaving no stone unturned to fight COVID-19: Amit Shah,Genuine
,"Cuba sent 200,000 doctors across the world to help nations fighting against COVID-19 Pandemic.",Fake
,Coronavirus lockdown: Entrepreneurs organise virtual concert to raise money for daily wagers,Genuine
,"Hundreds of people pelted stones at security forces in Jammu and Kashmir's Avantipura after terrorist Riyaz Naiku was killed! But if you call them traitors, then they will play the Victim Card, call themselves innocent people and the same line ""Everybody's blood contains this soil",Fake
,You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life.,Genuine
,Bill Gates lauds PM Modi's leadership in combating coronavirus in India,Genuine
, Coronavirus dies at a temperature above 26 – 27 degrees Celcius as per UNICEF.,Fake
,Coronavirus update: Karnataka CM tells employers not to cut salaries,Genuine
P M Modi,"18 nations, including the US and the UK, want Indian Prime Minister Narendra Modi to be the leader of the task force to combat the coronavirus pandemic.",Fake
,Govt unveils Aarogya Setu COVID-19 tracker app,Genuine
,"close, frequent and prolonged contact with someone with COVID-19 puts caretakers at high risk. ",Genuine
,People burning candles on top of their head after PM Modiâ€™s nationwide appeal to light a candle on 5th April 2020 at 9pm for minutes.,Fake
, Iranian girl Anahita Hashemzadeh has contracted Coronavirus.,Fake
," A video is doing the rounds in already flooded WhatsApp groups. It is being claimed that the lady shown in the video is the wife of Canadaâ€™s PM Justin Trudeau. In the viral video, a lady can be seen describing her improved condition because of medication and also warns to not take chances.",Fake
," A family (husband, wife, child) committed suicide because they could not bear hunger. They were migrants travelling to their hometown during the lockdown, from a city named Surat in India.",Fake
,Image of police punishing people in Indian state of Assam for violating the curfew.,Genuine
,42 doctors of Pune’s Dr DY Patil hospital test negative for Covid-19,Genuine
video of Conress leaders,This is the video of Conress leaders Rahul and Priyanka Gandhi breaking coronavirus lockdown by stepping out.,Fake
,China honours coronavirus victims with 3 minutes of reflection,Genuine
,Eating salt on the onion will eliminate the coronavirus.,Fake
,India TV telecasted news that Bollywood Actor Shahrukh Khan donated 450 million (45 Crore) Rupees to Pakistan Oil tanker blast victims.,Fake
,"Before his death, ex-Hazuri Raagi complained of not getting 'proper treatment'",Genuine
,PM Modi asks ministers to list priority areas once lockdown ends,Genuine
,Rubbing mustard oil on your nostrils can prevent Coronavirus.,Fake
,World Health Organization (WHO) has warned against eating cabbage during the novel coronavirus pandemic.,Fake
, Hot air from hair dryers can kill Coronavirus.,Fake
, Gargling With Warm Salt Water Can Save From coronavirus.,Fake
,"Fresh cases of coronavirus in Rajasthan, curfew imposed in two areas",Genuine
,"Covid-19 outbreak: 18-yr-old skips birthday celebration, donates piggy bank saving to CM fund",Genuine
,The image shows a grim-looking Pakistani Prime Minister Imran Khan with the Hindi text suggesting that Khanâ€™s wife and his driver have been tested positive for coronavirus. The viral image also stated that Khanâ€™s coronavirus test result was negative.,Fake
, Sick COVID-19 patients at the airport runway in Senegal.,Fake
,"PM Modi asks ministers, officials to prep for post-lockdown scenario",Genuine
,Rubbing mustard oil on your nostrils can prevent Coronavirus.,Fake
,The corona virus CANNOT be transmitted through mosquito bites.,Genuine
,"Total 17 seats in Bihar legislative council to fall vacant, as Election Commission defers beginning of poll process due to lockdown",Genuine
," Coronavirus patients were being arrested in Punjab, India.",Fake
,Coronavirus: 54 workers of Pondy govt hospital sacked for absence at duty,Genuine
,Covid-19: DRDO develops portable backpack for sanitisation equipment,Genuine
, Photo of the prime minister of Italy crying and expressing his helplessness that he couldn’t save coronavirus patients in Italy.,Fake
,Let's make India COVID-19 free': PM Modi on BJP's 40th foundation day,Genuine
," Man Critical With Novel coronavirus In Barhalganj, India.",Fake
,â€œIf you feel the lockdown in India is harsh just have a look at this American lockdownÂ ,Fake
,Children's helpline receives nearly 3 lakh calls since lockdown,Genuine
ultraviolet disinfection lamp,UV lamps should not be used to sterilize hands or other areas of skin as UV radiation can cause skin irritation.,Genuine
,Garlic Water Can Cure Novel coronavirus.,Fake
,COVID-19: Orders for over 10 crore anti-malarial hydroxychloroquine tablets placed by Centre,Genuine
,Bombay High Court is extending Maharashtra’s lockdown to April 31.,Fake
,Special milk train to run at 110 kmph,Genuine
,"No vision of future, just feel-good moment curated by 'Photo-Op PM': Shashi Tharoor on PM Modi's video message",Genuine
,Kashmiri women She is from Shopian South kashmir. Beaten during CASO by Indian occupation Army and SOG.,Fake
,Mumbaiâ€™s coronavirus map shows Covid-19 containment zones in city,Genuine
," A viral video showcasing an emergency treatment of a COVID-19 patient in Maharasthra, an Indian State. The video is shared in the names of different cities of Maharashtra.",Fake
,NCW gets SOS from women facing violence at home during lockdown,Genuine
,Two terrorists reportedly killed in encounter with security forces in J&K's Kulgam,Genuine
,Malaysia's indigenous people flee into forests to escape coronavirus,Genuine
,A picture claiming that an Italian man committed suicide after his whole family succumbed to COVID-19,Fake
,"With bidi factories closed amid Covid-19 lockdown, 15 lakh labourers in Bengal district face crisis",Genuine
,"Several dogs and cats (domestic cats and a tiger) in contact with infected humans have tested positive for COVID-19. In addition, ferrets appear to be susceptible to the infection. In experimental conditions, both cats and ferrets were able to transmit infection to other animals of the same species, but there is no evidence that these animals can transmit the disease to human and play a role in spreading COVID-19. COVID-19 is mainly spread through droplets produced when an infected person coughs, sneezes, or speaks. ",Genuine
,"Covid-19 suspect dies while trying to escape from hospital, report comes negative",Genuine
,Covid-19 challenge seeks innovative solutions to mitigate pandemic impact,Genuine
,Covid-19: West Bengal FM urges Nirmala Sitharaman to release stateâ€™s Revenue Deficit Grant in 3 installments,Genuine
," After husband tested positive for coronavirus, wife fled from Bangalore to Agra in India.",Fake
,Canada asks medical workers treating Covid-19 patients to reuse face masks,Genuine
,â€˜Lighting candles okay as there is nothing to do at homeâ€™: Raj Thackeray,Genuine
,"If you develop fever, cough and difficulty breathing, seek medical advice promptly as this may be due to a respiratory infection or other serious condition. Call in advance and tell your provider of any recent travel or contact with travelers. Why? Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also help to prevent possible spread of COVID-19 and other viruses.",Genuine
," An audio clip claiming to be of renowned heart surgeon Dr Devi Shetty is going viral on Facebook, Twitter, and WhatsApp.",Fake
,"According to the report, the incident shows three men dressed like the police beat up a man. It also explained how a trend has emerged in Mexico where civilians dress up as policemen and punish people allegedly involved in robberies and other crimes.",Genuine
Recovery from the coronavirus disease,You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life.,Genuine
,Mumbai: Universities asked to prepare fresh exam schedule as plan B,Genuine
, Video of the new hospital set up by China for coronavirus patients.,Fake
,"Japan may declare emergency, NZ to stick to Covid-19 curbs despite stability: 10 points",Genuine
,Hot air application through hairdryer will beat coronavirus.,Fake
," Kerala has asked NABARD for a loan of Rs 20,000 crore to deal with COVID-19.",Fake
, There is now a COVID19 cure from USA.,Fake
,Coronavirus update: New Zealand minister goes on a drive amid Covid-19 lockdown; demoted,Genuine
,J&K political parties call amended domicile rules 'cosmetic',Genuine
,Coronavirus update: PM Modiâ€™s call for switching off lights for 9 minutes at 9pm today,Genuine
, Inhalation of hot steam can kill Novel Coronavirus.,Fake
, Pictures of people stranded on hospital beds claimed to be Italy not coping with the pressure of COVID-19 cases and that India should learn from Italy’s mistakes and not step out of the house in the 21 days lockdown,Fake
, Coronavirus-infected chicken found in Bengaluru.,Fake
,Rs 56cr for innovations to combat Covid-19 pandemic,Genuine
, Coronavirus was created in a lab in Wuhan.,Fake
," 18 nations, including the US and the UK, want Indian Prime Minister Narendra Modi to be the leader of the task force to combat the coronavirus pandemic.",Fake
,"Amid Covid-19 crisis, 198 doctors face absenteeism heat in Bihar",Genuine
, After COVID-19 outbreak in europe Muslims and non-Muslims have come out in the streets shouting praises for Allah and reading Kalma.,Fake
," Timings for sale of milk, newspapers, grocery and medical stores have been issued by the Mumbai Police commissioner.",Fake
,PM Modi announced internet suspension due to viral Fake news related to COVID-19.,Fake
,"It is more than two months since the first observed COVID19 case was diagnosed in India. We still have minimal data to understand the epidemiological trajectory of COVID 19 in India. The biggest limitation for our analysis is that state-wise testing, detection, and case-specific details are not made available in the public domain.",Genuine
,An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.,Fake
,Precautionary measures suggested by the UNICEF.,Fake
, Video of the new hospital set up by China for coronavirus patients.,Fake
,"US to airlift 22,000 Americans stranded overseas; many in India",Genuine
TelephoneÂ Conversation between PM andÂ  King of the Kingdom of Bahrain,"Prime Minister Shri Narendra Modi had a telephone conversation with His Majesty Hamad Bin Isa Al Khalifa, King of the Kingdom of Bahrain.Â Â The two leaders discussed the ongoing COVID-19 health crisis and its consequences, including on logistics chains and financial markets.",Genuine
,Global leaders send wishes to Boris Johnson who remains in intensive care,Genuine
,The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales.,Genuine
,"Coronavirus update: A long war ahead but weâ€™ll win it, says PM Modi",Genuine
,Indian police is just nothing. See Spanish police beating people who are violating curfew,Fake
,Coronavirus pandemic: Derek O'Brien questions Centre's criteria for choosing 6 states for COVID-19 monitoring,Genuine
,"As Kashmir struggles with Covid-19, Pak preps to send across more terrorists",Genuine
,Air quality in Gurugram reduces for the first time in 10 days due to firecrackers,Genuine
,The bodies of people infected with coronavirus are lying on the road of Italy. No one is carrying them due to the risk of infection.,Fake
," Confirmed case of coronavirus found in Shaheen Bagh, Delhi.",Fake
,Videos of Pigs being buried in China due to the coronavirus outbreak.,Fake
,Lockdown 2.0: Maharashtra Govt allowed over a 1 Lakh sugarcane workers to go back to their homes,Genuine
, Covid-19 self testing by holidng breath and put mustard oil through nose will kill the coronavirus.,Fake
,Drones help cops nab over 40 violating social distancing rule,Genuine
," Disaster Management Act has been implemented across India. As per the act, apart from the government departments, no other citizen is allowed to post or share any forward related to the novel coronavirus.",Fake
," 28-year-old Dr Manisha Patil from Maharashtra died yesterday due to Coronavirus. Manisha had examined 188 people and helped them recover, but she could not save herself from Coronavirus.",Fake
," Video of bats found under the tiles of many roofs in Hubei, China. They were the source of coronavirus.",Fake
,"â€˜Light your candles tonightâ€™: Rajnath Singh, Nitin Gadkari resound PM Modiâ€™s call",Genuine
,"Wedlockdown: Girl in Delhi, boy in Mumbai tie the knot",Genuine
,"On World Health Day, PM Modi extends gratitude to those â€˜battling the Covid-19 menaceâ€™",Genuine
,Current Covid-19 spread mimics H1N1 pandemic of 2009: Govt document,Genuine
," The Russian president, Putin, has left 800 lions outside to make people stay in their homes.",Fake
, The Netflix Korean drama My secret terrius predicted the Coronavirus outbreak in 2018.,Fake
, Mumbai Police and Bengaluru Police issued Advisory claiming that incidence of robbery and kidnapping to increase after lockdown is lifted.,Fake
,"Yesterday on February 25, 2020 at gram sabha Katghar, a statue of Baba Saheb has been disintegrated by some miscreants, please take appropriate action. @Uppolice @112UttarPradesh @dgpup gram sabha Katghar, Chauhan Thana Karaundi Kalan, Kadipur, Sultanpur Uttar Pradesh.",Genuine
," No deaths have been reported in Israel due to COVID-19 because they have found a cure for the disease. A solution of hot water, baking soda and lemon is the cure for COVID-19.",Fake
, Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.,Fake
,"More than 60,000 deaths worldwide from coronavirus",Genuine
,Noida gets together for PM’s 9-minute request,Genuine
,"Home ministry reminds states of its order, asks them to allow agri operations during lockdown period",Genuine
,"Have heard, drunk people are honest. But the drunk man you see in the photo is a liar. He is state's chief secretary Rajiva Sinha. He has given out false information regarding Corona and put the entire state in danger. Now he is sipping alcohol and enjoying it.",Fake
,Maharashtra govt to focus on containment of Covid-19 in hotspots,Genuine
,American scientists have developed a cure for Coronavirus.,Fake
, Fake News Of coronavirus Infecting Boiler Chicken.,Fake
,Indian Government snooping messages over social media and all social media platforms wll be monitored for COVID-19 messages,Fake
," A purported advisory has been shared repeatedly in multiple Facebook, Twitter and WhatsApp posts that claims a disinfectant will be sprayed into the air overnight in India in an effort to kill the novel coronavirus, COVID-19. The posts urge residents to remain indoors during the spraying.",Fake
,US?President Donald Trump warns of ‘toughest week’ with a ‘lot of death’,Genuine
, Photo of Deer on Ooty-Coimbatore road during the current lockdown (COVID-19).,Fake
,YSRCP MP Midhun Reddy seeks fiscal stimulus for Andhra Pradesh,Genuine
,"2 FIRs against Tablighi workers for spreading disease in hospital, quarantine centre",Genuine
,"Prime Minister Shri Narendra Modi had a telephone conversation with His Majesty Hamad Bin Isa Al Khalifa, King of the Kingdom of Bahrain.  The two leaders discussed the ongoing COVID-19 health crisis and its consequences, including on logistics chains and financial markets.",Genuine
,COVID-19 Breeds Rapidly In Toilet Paper.,Fake
,PM Modi on 2nd April â€™20 announced extension of nationwide lockdown till 4 May 2020.,Fake
,Passenger trains may be resumed on a case-to-case basis: Explained,Genuine
,Extensive trials propagating the use of Favipiravir have been going on in Japan and another trial is set to begin in India. Researchers say that Favipiravir works by preventing the virus from replicating inside the organs and was also used in fighting the deadly Influenza virus in the past.,Genuine
,Covid-19 positive cases in Andhra Pradesh rise to 143,Genuine
," Last Photo of Indonesian doctor,Hadio Ali standing away from his family before he passed away due to COVID-19",Fake
, Image of the people who died of coronavirus in Italy.,Fake
," An Image is being shared on social media claiming; this italian doctor couple in the picture worked day and night and saved the lives of 134 patients, but on the eighth day, they caught coronavirus and died after an hour.",Fake
,Saddam Hussein in 90s talking about coronavirus to his cabinet and army that America has threatened him to spread this virus if he doesnâ€™t follow their command.,Fake
,Chhattisgarh seeks transfer of donations from PM CARES Fund to state,Genuine
," Due to the fear of Coronavirus, Muslims in China are offereing Namaz in the open street.",Genuine
, Effects of coronavirus on an affected persons lip.,Fake
,Audio clip of a conversation claiming that Government of India will announce shutdown of the country in the coming days from 15 April to 15 June in the wake of Coronavirus outbreak,Fake
,lockdown: Reliance to provide meals for 3 crore Indians,Genuine
,"Coronavirus update: BMC allocates Covid-19 hospitals for elderly, vulnerable",Genuine
,"However, WHO recommendations are that pregnant women with symptoms of COVID-19 should be prioritized for testing. If they have COVID-19, they may need specialized care.Â ",Genuine
,"Coronavirus: Cloth, scissors, sewing machine - Govt’s DIY guide on making masks at home",Genuine
,"The message then goes ahead to mention that the government has a roadmap to ease COVID-19 restrictions in 5 phases through a three week review process and would be on the dates of May 18, June 8, June 29, July 20, and August 10",Fake
,Photo of Kanika Kapoor meeting Prince Charles during her recent visit to United Kingdom. Prince Charles was tested positive for coronavirus just after the meet.,Fake
,CDC recommends people to shave their facial hair to prevent coronavirus.,Fake
,Designate officers to issue authorisation letters to key supply chain firms: Centre to states,Genuine
, Drinking bitter gourd juice cures Coronavirus,Fake
,Have restricted my movement to break COVID-19 chain: CRPF DG after doc tests positive,Genuine
,Special milk train to run at 110 kmph,Genuine
,"President, MPs, ministers take a pay cut for 1 year, say it is a message",Genuine
,Some doctors believe BCG may be helpful against COVID-19,Genuine
,"If I feel like sleeping, I will do that: Mamata on PM's call to light candles",Genuine
," Government of India will provide a relief package of Rs 50,000 to ration card-holders under its scheme ‘Rashtriya Sikhshit Berojgar Yojna’.",Fake
,People rioting on the streets of London due to economic crisis in the wake of coronavirus outbreak.,Genuine
,There is no space in the hospitals in Italy because of which people are crowding outside.,Fake
,Hubei district is filled with bats on their roofs which are the main source of coronavirus thus the virus spread there.,Fake
, Saint Luke’s Hospital of USA says that consuming alcohol can reduce the risk of COVID-19.,Fake
,"Covid-19’s impact may last up to two years, say health officials in Canada",Genuine
,Recent photo of PM Modi visiting a Church and offering prayers to save the country from the coronavirus outbreak.,Fake
, Italian Prime Minister Giuseppe Conte broke down amid Covid19 deaths in his country.,Fake
," Muslims in Tamil Nadu, India are flouting lockdown rules to offer namaz prayers at night.",Fake
,Image of mother unable to feed her suckling as she battles COVID-19.,Fake
,Covid-19: Three IAF personnel in quarantine,Genuine
,The corona virus can be transmitted through mosquitoes.,Fake
, Girl infected with coronavirus found dead in her apartment in Delhi.,Fake
,"Son of Tablighi Jamaat attendee tests positive of Covid-19 in Mohali, taking count of positive cases to 16",Genuine
,Even people with the COVID-19 infection but no symptoms can spread the disease.,Genuine
," Image of Muslims violating lockdown restrictions and praying in Purukathur, Tamil Nadu, India.",Fake
,"If you have fever, cough or difficulty breathing, seek medical care early. Call before going to a health facility, and follow the directions of your local health authority. ",Genuine
,Economic decline due to Covid-19 will not help govt’s tackle climate change,Genuine
,Shiv Sena's Raut lashes out at PM's 'light up lamps' appeal,Genuine
,"‘Speculation’, says aviation minister on report of resumption of flights after lockdown",Genuine
,Sachin Tendulkar will not celebrate 47th birthday as mark of respect to COVID-19 warriors,Genuine
,FCI has sent enough stocks to states throughout the country to implement PM Garib Kalyan Ann Yojana (PMGKAY) wherein 5 kg foodgrain per person per month for next three months has to be distributed free to all National Food Security Act (NFSA) beneficiaries. ,Genuine
,"Coronavirus update: British PM Boris Johnson had oxygen support, not on ventilator, says minister",Genuine
," Indian Army has built a 1,000-bed hospital in Rajasthan in eight days for the treatment of COVID-19.",Fake
Old video in Gujrat,Video of Muslims gathered on roads despite the curfew to curb the spread of Coronavirus.,Fake
, Air India is operating evacuation flights to bring back stranded Indians from London.,Fake
,"Congress playing 'petty politics', should put up united front against COVID-19 pandemic: BJP",Genuine
,Assalaam Alaikum!' This is Karachi's control welcoming Air India.. We're proud of you',Genuine
,Bihar cop suspended for making Home Guard jawan do squats for flagging down officer's car,Genuine
,A video purporting that an attack on doctors was avenged by police men.,Fake
, Cuba sent 200.000 doctors across the world to help nations fighting against COVID-19 Pandemic.,Fake
, An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.,Fake
,Light up lamps on Sunday night to display collective strength to defeat coronavirus: PM Modi,Genuine
,Australia's Nick Kyrgios says 'no' to Grand Slams without fan,Genuine
,"An image of a doctor goes viral with the claim that Dr. Usman Riyaz died while treating coronavirus patients in Delhi, India.",Fake
,"UP-bound 13 bikers from Vizag caught in Jamshedpur, quarantined in PCTC",Genuine
,"Great news! Carona virus vaccine ready. Able to cure patient within 3 hours after injection. Hats off to US Scientists. Right now Trump announced that Roche Medical Company will launch the vaccine next Sunday, and millions of doses are ready from it",Fake
, 2019 novel coronavirus can be cured by one bowl of freshly boiled garlic.,Fake
,"Wedlockdown: Girl in Delhi, boy in Mumbai tie the knot",Genuine
,Cov case in Uttar Pradesh district.,Fake
,Novel coronavirus can be eliminated by drinking lots of water and gargling with warm water mixed with salt or vinegar.,Fake
,video of actress Rakul Preet Singh walking out of a medical and provision store in Bandra's Pali Hill,Genuine
